Enrollment Number,Year,Stream,pass/fail,midsem1.TOC,midsem1.DBMS,midsem1.OS,midsem1.Software Engineering,midsem1.Neural Networks and Deep Learning,midsem1.ESP,midsem1.SDP,midsem2.TOC,midsem2.DBMS,midsem2.OS,midsem2.Software Engineering,midsem2.Neural Networks and Deep Learning,midsem2.ESP,midsem2.SDP,midsem1lab.DBMS,midsem1lab.OS,midsem1lab.Software Engineering,midsem2lab.DBMS,midsem2lab.OS,midsem2lab.Software Engineering,internal_marks.TOC,internal_marks.DBMS,internal_marks.OS,internal_marks.Software Engineering,internal_marks.Neural Networks and Deep Learning,internal_marks.ESP,internal_marks.SDP,lab_final.DBMS,lab_final.OS,lab_final.Software Engineering,final_theory.TOC,final_theory.DBMS,final_theory.OS,final_theory.Software Engineering,final_theory.Neural Networks and Deep Learning,final_theory.ESP,final_theory.SDP
11,3rd,CSE,Pass,20.0,11.0,0.0,2.0,18.0,6.0,27.0,0.0,14.0,26.0,13.0,1.0,20.0,29.0,28.0,4.0,24.0,8.0,26.0,2.0,40.0,41.0,1.0,15.0,22.0,9.0,48.0,2.0,5.0,68.0,23.0,87.0,72.0,58.0,48.0,39.0,48.0
12,3rd,CSE(AIML),Pass,4.0,21.0,7.0,29.0,15.0,27.0,7.0,14.0,23.0,0.0,16.0,27.0,5.0,14.0,0.0,13.0,15.0,8.0,8.0,3.0,8.0,49.0,26.0,29.0,28.0,33.0,29.0,30.0,50.0,70.0,26.0,80.0,9.0,85.0,91.0,3.0,12.0
13,3rd,CSEIOTCSBT,Pass,2.0,12.0,21.0,22.0,23.0,4.0,21.0,10.0,27.0,19.0,0.0,2.0,30.0,14.0,29.0,26.0,19.0,20.0,6.0,14.0,6.0,44.0,9.0,44.0,48.0,42.0,20.0,10.0,94.0,89.0,90.0,27.0,43.0,0.0,81.0,62.0,44.0
14,3rd,CSEAI,Pass,12.0,1.0,7.0,7.0,5.0,0.0,17.0,19.0,5.0,18.0,4.0,8.0,2.0,21.0,3.0,18.0,16.0,16.0,15.0,1.0,19.0,19.0,38.0,49.0,48.0,6.0,7.0,32.0,100.0,18.0,73.0,59.0,69.0,97.0,36.0,75.0,67.0
15,3rd,CSEIOTCSBT,Pass,19.0,28.0,30.0,5.0,6.0,7.0,11.0,16.0,1.0,10.0,3.0,3.0,27.0,8.0,1.0,19.0,8.0,6.0,30.0,7.0,31.0,7.0,23.0,32.0,17.0,14.0,0.0,78.0,77.0,59.0,74.0,95.0,68.0,39.0,8.0,58.0,60.0
16,3rd,CSBS,Pass,4.0,13.0,1.0,11.0,0.0,1.0,22.0,6.0,8.0,21.0,11.0,16.0,3.0,13.0,18.0,12.0,19.0,12.0,3.0,20.0,49.0,38.0,50.0,20.0,34.0,23.0,9.0,34.0,70.0,98.0,62.0,4.0,15.0,23.0,72.0,38.0,43.0
17,3rd,CSBS,Pass,6.0,25.0,16.0,16.0,25.0,16.0,3.0,15.0,9.0,27.0,2.0,19.0,20.0,18.0,24.0,16.0,13.0,27.0,23.0,10.0,5.0,4.0,2.0,23.0,22.0,46.0,31.0,1.0,78.0,93.0,98.0,62.0,91.0,66.0,64.0,91.0,52.0
18,3rd,CSE(AIML),Pass,22.0,,30.0,28.0,9.0,11.0,9.0,10.0,28.0,25.0,13.0,3.0,17.0,26.0,9.0,13.0,0.0,28.0,25.0,13.0,33.0,50.0,0.0,28.0,6.0,20.0,19.0,94.0,3.0,70.0,83.0,84.0,72.0,55.0,41.0,1.0,99.0
19,3rd,CSEIOT,Pass,27.0,29.0,6.0,23.0,27.0,18.0,11.0,8.0,25.0,9.0,14.0,9.0,18.0,26.0,3.0,14.0,6.0,5.0,1.0,0.0,44.0,13.0,37.0,50.0,30.0,8.0,13.0,58.0,49.0,9.0,87.0,22.0,78.0,46.0,68.0,0.0,49.0
20,3rd,CSE(AIML),Pass,28.0,3.0,17.0,27.0,11.0,30.0,26.0,1.0,8.0,27.0,17.0,14.0,19.0,26.0,4.0,10.0,20.0,5.0,8.0,26.0,39.0,49.0,23.0,43.0,19.0,28.0,42.0,57.0,91.0,5.0,78.0,6.0,40.0,38.0,4.0,19.0,95.0
21,3rd,CSBS,Pass,15.0,14.0,27.0,16.0,23.0,3.0,19.0,7.0,19.0,7.0,43.0,24.0,30.0,12.0,5.0,23.0,27.0,13.0,26.0,13.0,27.0,40.0,41.0,27.0,15.0,11.0,27.0,72.0,18.0,27.0,36.0,84.0,61.0,13.0,31.0,69.0,20.0
22,3rd,CSE,Pass,19.0,18.0,17.0,6.0,30.0,22.0,13.0,11.0,19.0,,,8.0,8.0,14.0,23.0,9.0,28.0,9.0,7.0,17.0,2.0,45.0,50.0,40.0,34.0,9.0,28.0,81.0,44.0,62.0,40.0,3.0,100.0,20.0,7.0,4.0,72.0
23,3rd,CSEIOT,Pass,25.0,30.0,14.0,12.0,26.0,7.0,13.0,30.0,11.0,10.0,26.0,2.0,12.0,3.0,24.0,19.0,8.0,5.0,15.0,28.0,23.0,38.0,7.0,21.0,2.0,13.0,38.0,64.0,60.0,3.0,9.0,64.0,35.0,19.0,76.0,21.0,81.0
24,3rd,CSE(AIML),Pass,15.0,1.0,22.0,29.0,20.0,7.0,28.0,23.0,4.0,30.0,5.0,3.0,11.0,2.0,4.0,8.0,17.0,4.0,14.0,47.0,13.0,38.0,21.0,41.0,23.0,13.0,35.0,53.0,36.0,91.0,77.0,43.0,49.0,2.0,25.0,38.0,65.0
25,3rd,CSBS,Fail,11.0,17.0,20.0,6.0,4.0,15.0,22.0,7.0,13.0,12.0,19.0,22.0,21.0,5.0,3.0,3.0,21.0,19.0,21.0,11.0,22.0,1.0,1.0,35.0,8.0,50.0,16.0,25.0,90.0,4.0,16.0,19.0,61.0,60.0,9.0,10.0,74.0
26,3rd,CSE,Pass,12.0,22.0,15.0,0.0,16.0,25.0,4.0,,30.0,9.0,13.0,4.0,13.0,13.0,12.0,8.0,30.0,26.0,5.0,11.0,15.0,36.0,42.0,44.0,2.0,30.0,31.0,38.0,14.0,32.0,0.0,89.0,39.0,59.0,52.0,100.0,18.0
27,3rd,CSE,Fail,9.0,9.0,4.0,2.0,4.0,18.0,25.0,0.0,15.0,20.0,3.0,7.0,0.0,26.0,30.0,25.0,7.0,4.0,20.0,16.0,39.0,29.0,14.0,7.0,30.0,49.0,15.0,15.0,83.0,42.0,78.0,44.0,83.0,5.0,92.0,4.0,19.0
28,3rd,CSEIOT,Pass,29.0,21.0,1.0,16.0,14.0,27.0,10.0,13.0,11.0,2.0,3.0,30.0,,26.0,12.0,1.0,2.0,10.0,6.0,12.0,,13.0,17.0,46.0,43.0,43.0,31.0,55.0,60.0,69.0,31.0,82.0,65.0,50.0,13.0,29.0,98.0
29,3rd,CSE(AIML),Fail,26.0,16.0,29.0,7.0,22.0,0.0,10.0,7.0,19.0,25.0,18.0,26.0,8.0,1.0,15.0,24.0,6.0,18.0,10.0,23.0,18.0,7.0,26.0,14.0,46.0,3.0,3.0,23.0,53.0,81.0,43.0,5.0,59.0,44.0,5.0,29.0,41.0
30,3rd,CSBS,Pass,20.0,16.0,4.0,27.0,8.0,24.0,10.0,21.0,27.0,20.0,9.0,18.0,14.0,21.0,15.0,,29.0,4.0,2.0,5.0,28.0,6.0,13.0,37.0,28.0,34.0,31.0,34.0,86.0,68.0,12.0,44.0,96.0,86.0,25.0,35.0,64.0
31,3rd,CSEAI,Pass,22.0,15.0,22.0,4.0,21.0,21.0,30.0,30.0,21.0,9.0,14.0,29.0,4.0,7.0,24.0,17.0,27.0,29.0,26.0,12.0,37.0,23.0,45.0,40.0,47.0,29.0,1.0,84.0,37.0,7.0,23.0,54.0,80.0,80.0,35.0,54.0,30.0
32,3rd,CSEIOTCSBT,Fail,8.0,0.0,4.0,30.0,19.0,22.0,4.0,8.0,2.0,21.0,13.0,18.0,23.0,5.0,18.0,3.0,15.0,19.0,20.0,13.0,28.0,39.0,2.0,18.0,27.0,14.0,10.0,20.0,57.0,74.0,11.0,56.0,0.0,84.0,16.0,7.0,53.0
33,3rd,CSEAI,Fail,26.0,28.0,12.0,5.0,30.0,6.0,11.0,19.0,11.0,6.0,29.0,18.0,8.0,9.0,13.0,14.0,20.0,11.0,2.0,6.0,17.0,7.0,14.0,27.0,9.0,12.0,68.0,2.0,44.0,78.0,97.0,25.0,46.0,13.0,65.0,30.0,21.0
34,3rd,CSEIOTCSBT,Pass,28.0,28.0,13.0,19.0,18.0,16.0,26.0,3.0,30.0,13.0,4.0,7.0,7.0,13.0,16.0,16.0,21.0,17.0,18.0,21.0,8.0,44.0,46.0,47.0,18.0,30.0,16.0,96.0,32.0,89.0,96.0,5.0,44.0,73.0,93.0,46.0,57.0
35,3rd,CSEIOT,Pass,17.0,12.0,13.0,15.0,29.0,4.0,17.0,26.0,3.0,0.0,28.0,17.0,13.0,0.0,17.0,21.0,2.0,22.0,12.0,19.0,8.0,23.0,12.0,34.0,8.0,47.0,27.0,3.0,75.0,94.0,26.0,76.0,98.0,82.0,66.0,61.0,26.0
36,3rd,CSEIOTCSBT,Fail,14.0,29.0,0.0,25.0,27.0,9.0,6.0,24.0,14.0,21.0,18.0,5.0,15.0,23.0,8.0,25.0,,14.0,8.0,29.0,33.0,0.0,21.0,33.0,43.0,14.0,18.0,98.0,28.0,40.0,14.0,40.0,34.0,81.0,31.0,17.0,4.0
37,3rd,CSBS,Pass,10.0,22.0,4.0,11.0,29.0,29.0,15.0,24.0,20.0,12.0,27.0,8.0,8.0,24.0,22.0,25.0,29.0,23.0,27.0,3.0,31.0,32.0,42.0,17.0,44.0,1.0,41.0,10.0,73.0,46.0,59.0,12.0,37.0,26.0,17.0,33.0,14.0
38,3rd,CSEIOT,Pass,4.0,13.0,1.0,3.0,29.0,5.0,12.0,1.0,27.0,19.0,17.0,26.0,30.0,12.0,10.0,19.0,15.0,23.0,5.0,28.0,46.0,3.0,34.0,23.0,20.0,26.0,5.0,92.0,3.0,88.0,66.0,89.0,23.0,3.0,84.0,84.0,97.0
39,3rd,CSEIOTCSBT,Fail,11.0,9.0,4.0,7.0,19.0,21.0,28.0,15.0,26.0,23.0,21.0,23.0,6.0,6.0,3.0,5.0,26.0,4.0,28.0,7.0,14.0,3.0,12.0,42.0,3.0,44.0,0.0,15.0,86.0,64.0,1.0,28.0,81.0,2.0,25.0,59.0,31.0
40,3rd,CSEIOT,Fail,2.0,9.0,13.0,27.0,25.0,8.0,7.0,8.0,18.0,11.0,4.0,4.0,13.0,11.0,0.0,6.0,14.0,19.0,18.0,18.0,8.0,31.0,16.0,,41.0,8.0,50.0,77.0,90.0,28.0,57.0,12.0,17.0,34.0,2.0,56.0,95.0
41,3rd,CSEIOT,Fail,3.0,22.0,22.0,25.0,14.0,28.0,27.0,12.0,1.0,25.0,27.0,14.0,11.0,1.0,22.0,14.0,15.0,,24.0,1.0,17.0,35.0,0.0,31.0,20.0,11.0,33.0,66.0,10.0,5.0,16.0,25.0,52.0,9.0,52.0,42.0,35.0
42,3rd,CSBS,Pass,4.0,18.0,23.0,19.0,29.0,23.0,19.0,14.0,13.0,10.0,4.0,29.0,21.0,4.0,9.0,20.0,20.0,23.0,3.0,0.0,15.0,44.0,47.0,37.0,36.0,22.0,28.0,46.0,27.0,44.0,6.0,59.0,77.0,80.0,23.0,67.0,18.0
43,3rd,CSEIOT,Pass,4.0,13.0,20.0,9.0,11.0,7.0,30.0,1.0,23.0,25.0,28.0,21.0,9.0,2.0,12.0,27.0,0.0,11.0,29.0,27.0,18.0,36.0,47.0,20.0,17.0,4.0,22.0,83.0,77.0,15.0,92.0,78.0,53.0,91.0,95.0,57.0,62.0
44,3rd,CSEAI,Pass,15.0,24.0,16.0,7.0,30.0,18.0,21.0,21.0,0.0,17.0,1.0,26.0,4.0,5.0,1.0,5.0,13.0,20.0,14.0,4.0,25.0,20.0,32.0,25.0,41.0,46.0,18.0,91.0,99.0,26.0,64.0,10.0,68.0,67.0,27.0,31.0,83.0
45,3rd,CSBS,Pass,17.0,1.0,22.0,25.0,2.0,23.0,29.0,29.0,18.0,19.0,9.0,16.0,5.0,11.0,12.0,19.0,9.0,25.0,20.0,26.0,17.0,22.0,32.0,6.0,3.0,27.0,36.0,51.0,18.0,44.0,45.0,99.0,25.0,4.0,70.0,2.0,91.0
46,3rd,CSEIOT,Pass,20.0,10.0,28.0,25.0,16.0,10.0,0.0,29.0,25.0,7.0,27.0,4.0,16.0,22.0,18.0,19.0,14.0,18.0,7.0,11.0,16.0,19.0,41.0,,34.0,24.0,49.0,9.0,45.0,87.0,16.0,99.0,81.0,90.0,97.0,14.0,87.0
47,3rd,CSEIOTCSBT,Pass,16.0,11.0,5.0,28.0,7.0,20.0,26.0,13.0,25.0,21.0,10.0,17.0,1.0,30.0,13.0,12.0,7.0,18.0,9.0,15.0,4.0,43.0,48.0,26.0,4.0,18.0,33.0,0.0,57.0,66.0,108.0,41.0,30.0,24.0,20.0,65.0,38.0
48,3rd,CSEIOT,Pass,4.0,25.0,22.0,8.0,30.0,16.0,15.0,30.0,13.0,4.0,25.0,3.0,14.0,18.0,26.0,14.0,27.0,10.0,12.0,21.0,41.0,16.0,16.0,13.0,44.0,36.0,37.0,92.0,37.0,83.0,63.0,55.0,95.0,53.0,45.0,78.0,28.0
49,3rd,CSEAI,Fail,1.0,3.0,14.0,15.0,14.0,14.0,21.0,23.0,24.0,22.0,29.0,3.0,3.0,10.0,24.0,21.0,5.0,17.0,26.0,25.0,25.0,43.0,7.0,37.0,49.0,9.0,16.0,54.0,12.0,25.0,3.0,58.0,82.0,39.0,11.0,50.0,7.0
50,3rd,CSBS,Fail,29.0,5.0,30.0,10.0,28.0,28.0,2.0,21.0,15.0,21.0,21.0,18.0,13.0,2.0,30.0,9.0,1.0,20.0,3.0,27.0,40.0,19.0,17.0,45.0,36.0,50.0,18.0,69.0,3.0,18.0,3.0,91.0,43.0,53.0,1.0,16.0,32.0
51,3rd,CSBS,Pass,28.0,,1.0,10.0,29.0,1.0,1.0,4.0,0.0,19.0,6.0,2.0,0.0,21.0,15.0,6.0,23.0,11.0,25.0,56.0,12.0,6.0,32.0,21.0,35.0,14.0,47.0,2.0,85.0,55.0,1.0,26.0,37.0,73.0,89.0,89.0,78.0
52,3rd,CSBS,Pass,13.0,7.0,3.0,17.0,24.0,18.0,7.0,16.0,29.0,10.0,8.0,14.0,18.0,26.0,2.0,25.0,3.0,17.0,5.0,6.0,47.0,36.0,32.0,2.0,3.0,47.0,7.0,100.0,23.0,94.0,69.0,2.0,71.0,91.0,25.0,11.0,59.0
53,3rd,CSE(AIML),Fail,0.0,17.0,26.0,3.0,21.0,15.0,1.0,21.0,0.0,21.0,9.0,6.0,10.0,6.0,5.0,25.0,25.0,,11.0,24.0,49.0,32.0,36.0,36.0,9.0,45.0,10.0,71.0,61.0,74.0,12.0,1.0,31.0,16.0,61.0,1.0,69.0
54,3rd,CSE,Fail,14.0,7.0,15.0,3.0,25.0,3.0,18.0,5.0,29.0,10.0,17.0,8.0,13.0,29.0,17.0,2.0,10.0,20.0,17.0,29.0,29.0,7.0,10.0,30.0,35.0,23.0,12.0,,0.0,37.0,17.0,35.0,21.0,73.0,66.0,61.0,49.0
55,3rd,CSEIOT,Pass,2.0,12.0,24.0,24.0,6.0,23.0,14.0,22.0,4.0,10.0,29.0,20.0,23.0,16.0,2.0,9.0,22.0,3.0,16.0,15.0,19.0,36.0,35.0,45.0,32.0,49.0,40.0,60.0,84.0,65.0,21.0,32.0,64.0,48.0,94.0,24.0,97.0
56,3rd,CSE,Pass,1.0,8.0,,27.0,27.0,15.0,0.0,30.0,16.0,6.0,4.0,26.0,13.0,28.0,29.0,0.0,7.0,1.0,15.0,16.0,7.0,17.0,20.0,50.0,15.0,30.0,8.0,68.0,48.0,92.0,79.0,57.0,98.0,58.0,61.0,51.0,76.0
57,3rd,CSEAI,Pass,12.0,14.0,9.0,9.0,1.0,27.0,22.0,19.0,26.0,8.0,22.0,7.0,25.0,11.0,13.0,4.0,6.0,4.0,11.0,20.0,50.0,2.0,25.0,7.0,32.0,15.0,12.0,99.0,27.0,39.0,38.0,56.0,93.0,8.0,78.0,8.0,96.0
58,3rd,CSBS,Pass,30.0,13.0,16.0,10.0,0.0,16.0,29.0,15.0,13.0,14.0,7.0,21.0,23.0,7.0,3.0,28.0,6.0,22.0,16.0,29.0,25.0,50.0,7.0,48.0,14.0,45.0,27.0,23.0,74.0,91.0,78.0,44.0,94.0,29.0,36.0,19.0,69.0
59,3rd,CSEAI,Pass,14.0,30.0,0.0,6.0,27.0,19.0,19.0,26.0,25.0,25.0,8.0,11.0,23.0,14.0,25.0,24.0,28.0,18.0,14.0,18.0,18.0,18.0,2.0,28.0,47.0,10.0,33.0,99.0,6.0,69.0,29.0,39.0,68.0,83.0,4.0,9.0,26.0
60,3rd,CSEIOTCSBT,Pass,12.0,12.0,19.0,12.0,4.0,0.0,25.0,1.0,7.0,1.0,10.0,3.0,27.0,5.0,7.0,11.0,30.0,22.0,6.0,11.0,28.0,11.0,16.0,31.0,41.0,44.0,1.0,57.0,29.0,26.0,76.0,67.0,83.0,94.0,10.0,30.0,60.0
61,3rd,CSE(AIML),Pass,24.0,16.0,22.0,4.0,23.0,6.0,9.0,13.0,25.0,9.0,24.0,7.0,21.0,28.0,29.0,18.0,14.0,27.0,13.0,12.0,36.0,39.0,19.0,33.0,39.0,35.0,25.0,63.0,26.0,65.0,58.0,9.0,25.0,69.0,24.0,24.0,56.0
62,3rd,CSEAI,Pass,11.0,25.0,0.0,5.0,16.0,25.0,30.0,0.0,15.0,5.0,6.0,18.0,9.0,2.0,23.0,12.0,4.0,19.0,16.0,30.0,43.0,42.0,14.0,41.0,12.0,30.0,24.0,37.0,91.0,81.0,9.0,33.0,97.0,4.0,57.0,93.0,49.0
63,3rd,CSEIOT,Pass,30.0,15.0,14.0,15.0,23.0,28.0,7.0,8.0,7.0,21.0,8.0,5.0,28.0,3.0,4.0,23.0,29.0,24.0,14.0,7.0,35.0,44.0,32.0,5.0,50.0,16.0,14.0,31.0,87.0,1.0,51.0,28.0,26.0,89.0,30.0,58.0,87.0
64,3rd,CSEIOT,Pass,29.0,7.0,15.0,14.0,25.0,6.0,0.0,7.0,27.0,9.0,5.0,14.0,29.0,19.0,3.0,23.0,4.0,16.0,8.0,1.0,29.0,42.0,25.0,48.0,49.0,32.0,12.0,30.0,87.0,30.0,34.0,13.0,56.0,1.0,67.0,63.0,88.0
65,3rd,CSE,Fail,15.0,24.0,11.0,16.0,8.0,1.0,30.0,0.0,12.0,26.0,3.0,12.0,2.0,15.0,11.0,8.0,11.0,12.0,6.0,14.0,13.0,5.0,33.0,42.0,16.0,46.0,20.0,89.0,6.0,57.0,26.0,13.0,,31.0,84.0,41.0,10.0
66,3rd,CSE,Fail,15.0,26.0,15.0,30.0,23.0,0.0,5.0,26.0,27.0,24.0,8.0,23.0,30.0,4.0,29.0,1.0,7.0,23.0,18.0,13.0,7.0,14.0,31.0,22.0,6.0,3.0,4.0,30.0,83.0,27.0,94.0,32.0,20.0,15.0,84.0,0.0,70.0
67,3rd,CSBS,Pass,17.0,13.0,29.0,,8.0,18.0,2.0,25.0,17.0,14.0,7.0,15.0,11.0,9.0,18.0,25.0,2.0,11.0,8.0,27.0,5.0,41.0,29.0,50.0,37.0,18.0,14.0,68.0,65.0,90.0,32.0,11.0,36.0,82.0,16.0,44.0,46.0
68,3rd,CSEAI,Pass,11.0,27.0,4.0,22.0,9.0,11.0,25.0,23.0,23.0,20.0,7.0,18.0,14.0,26.0,23.0,13.0,13.0,26.0,21.0,2.0,13.0,18.0,10.0,20.0,0.0,11.0,23.0,27.0,15.0,44.0,95.0,38.0,91.0,92.0,28.0,75.0,20.0
69,3rd,CSE(AIML),Pass,48.0,7.0,17.0,24.0,6.0,5.0,26.0,3.0,26.0,22.0,26.0,4.0,23.0,24.0,23.0,24.0,2.0,30.0,13.0,24.0,37.0,28.0,17.0,21.0,7.0,42.0,45.0,73.0,22.0,5.0,45.0,100.0,77.0,66.0,28.0,94.0,24.0
70,3rd,CSEIOTCSBT,Pass,27.0,21.0,21.0,24.0,4.0,2.0,23.0,18.0,24.0,22.0,10.0,23.0,24.0,6.0,13.0,0.0,16.0,14.0,30.0,17.0,21.0,44.0,8.0,7.0,17.0,40.0,23.0,95.0,33.0,56.0,14.0,16.0,16.0,96.0,1.0,56.0,27.0
71,3rd,CSEIOTCSBT,Pass,24.0,5.0,28.0,26.0,12.0,18.0,1.0,11.0,29.0,2.0,8.0,28.0,4.0,4.0,20.0,25.0,2.0,9.0,9.0,8.0,7.0,28.0,25.0,23.0,49.0,23.0,22.0,54.0,90.0,79.0,46.0,62.0,83.0,83.0,70.0,67.0,65.0
72,3rd,CSBS,Fail,20.0,18.0,24.0,18.0,16.0,8.0,1.0,20.0,17.0,5.0,6.0,4.0,11.0,22.0,23.0,5.0,27.0,29.0,29.0,12.0,21.0,22.0,39.0,25.0,24.0,30.0,14.0,,60.0,4.0,22.0,77.0,26.0,52.0,82.0,7.0,31.0
73,3rd,CSE,Fail,21.0,12.0,30.0,24.0,9.0,13.0,10.0,16.0,18.0,2.0,1.0,4.0,4.0,2.0,13.0,28.0,16.0,4.0,2.0,30.0,49.0,1.0,9.0,15.0,13.0,8.0,22.0,37.0,5.0,29.0,76.0,58.0,68.0,5.0,61.0,26.0,41.0
74,3rd,CSE(AIML),Pass,27.0,13.0,2.0,30.0,15.0,7.0,11.0,10.0,8.0,27.0,5.0,0.0,7.0,24.0,11.0,20.0,1.0,3.0,29.0,21.0,35.0,45.0,28.0,19.0,45.0,36.0,50.0,68.0,48.0,100.0,20.0,11.0,97.0,70.0,46.0,51.0,17.0
75,3rd,CSEIOTCSBT,Pass,6.0,8.0,17.0,30.0,22.0,13.0,6.0,26.0,12.0,6.0,13.0,19.0,1.0,18.0,21.0,30.0,19.0,3.0,17.0,10.0,42.0,9.0,12.0,37.0,28.0,66.0,17.0,100.0,73.0,9.0,65.0,25.0,71.0,93.0,5.0,83.0,34.0
76,3rd,CSBS,Fail,19.0,24.0,12.0,21.0,5.0,30.0,1.0,25.0,30.0,14.0,14.0,20.0,8.0,9.0,13.0,28.0,16.0,15.0,1.0,2.0,20.0,19.0,40.0,27.0,,38.0,33.0,45.0,2.0,50.0,25.0,2.0,36.0,19.0,18.0,43.0,92.0
77,3rd,CSEIOT,Pass,29.0,27.0,26.0,11.0,20.0,1.0,28.0,9.0,1.0,6.0,24.0,14.0,19.0,30.0,13.0,22.0,5.0,15.0,29.0,25.0,7.0,1.0,50.0,36.0,20.0,29.0,4.0,82.0,19.0,57.0,47.0,76.0,49.0,67.0,22.0,58.0,45.0
78,3rd,CSEIOTCSBT,Pass,11.0,3.0,21.0,8.0,19.0,11.0,22.0,30.0,24.0,30.0,2.0,0.0,6.0,19.0,23.0,5.0,30.0,16.0,14.0,5.0,2.0,46.0,16.0,19.0,19.0,25.0,41.0,89.0,67.0,30.0,58.0,30.0,1.0,89.0,61.0,40.0,32.0
79,3rd,CSEIOT,Pass,20.0,22.0,16.0,4.0,6.0,30.0,6.0,6.0,21.0,18.0,21.0,4.0,10.0,27.0,21.0,23.0,14.0,19.0,10.0,23.0,47.0,35.0,,17.0,46.0,18.0,47.0,81.0,82.0,45.0,26.0,56.0,0.0,89.0,84.0,58.0,30.0
80,3rd,CSEAI,Pass,28.0,0.0,14.0,25.0,29.0,10.0,7.0,30.0,5.0,30.0,28.0,26.0,6.0,9.0,3.0,13.0,7.0,25.0,30.0,26.0,46.0,13.0,32.0,21.0,9.0,47.0,37.0,26.0,3.0,100.0,53.0,6.0,37.0,95.0,46.0,21.0,23.0
